plant_id,created_at,temperature,module_temperature,ambient_temperature,solar_irradiation
1535727,2023-09-23 12:54:19.000000 UTC,28.9,26,27.1,1
1535727,2023-09-23 13:04:21.000000 UTC,28.9,26,27.1,1
1535727,2023-09-23 13:04:58.000000 UTC,28.9,26,27.1,1
1535727,2023-09-23 13:04:58.000000 UTC,28.9,26,27.1,1
1535727,2023-06-26 21:44:19.000000 UTC,28.1,26,26.3,1
1535727,2023-08-01 23:44:19.000000 UTC,28.1,26,26.5,22
1535727,2023-08-01 23:44:19.000000 UTC,28.1,26,26.5,22
1535727,2023-08-01 20:04:30.000000 UTC,28.1,26,26.5,1
1535727,2023-08-03 00:09:29.000000 UTC,28.1,26,26.2,28
1535727,2023-08-03 00:09:29.000000 UTC,28.1,26,26.2,28
1535727,2023-09-08 02:09:31.000000 UTC,28.1,26,26.1,54
1535727,2023-03-31 12:59:22.000000 UTC,28.6,26,27.1,1
1535727,2023-08-06 20:34:37.000000 UTC,28.6,26,26.4,0
1535727,2023-08-07 18:04:19.000000 UTC,28.6,26,26.5,1
1535727,2023-08-07 18:04:19.000000 UTC,28.6,26,26.5,1
1535727,2023-08-07 15:24:20.000000 UTC,28.6,26,27.2,0
1535727,2023-08-07 15:24:20.000000 UTC,28.6,26,27.2,0
1535727,2023-08-07 19:23:04.000000 UTC,28.6,26,26.5,0
1535727,2023-08-09 19:54:19.000000 UTC,28.6,26,27.3,1
1535727,2023-08-09 20:24:19.000000 UTC,28.6,26,27.3,1
1535727,2023-08-28 22:14:22.000000 UTC,28.6,26,26.8,1
1535727,2023-08-28 22:14:22.000000 UTC,28.6,26,26.8,1
1535727,2023-09-20 20:59:19.000000 UTC,28.6,26,26.3,1
1535727,2023-09-20 21:09:19.000000 UTC,28.6,26,26.3,1
1535727,2023-09-20 17:54:22.000000 UTC,28.6,26,26.3,1
1535727,2023-09-20 21:19:32.000000 UTC,28.6,26,26.3,1
1535727,2023-06-11 19:49:19.000000 UTC,28.3,26,26.4,1
1535727,2023-06-19 17:29:19.000000 UTC,28.3,26,26.4,1
1535727,2023-06-19 17:39:19.000000 UTC,28.3,26,26.4,1
1535727,2023-06-26 22:29:19.000000 UTC,28.3,26,26.3,1
1535727,2023-08-05 23:04:35.000000 UTC,28.3,26,26.6,1
1535727,2023-08-05 23:24:20.000000 UTC,28.3,26,26.5,1
1535727,2023-08-05 23:34:25.000000 UTC,28.3,26,26.6,1
1535727,2023-08-24 14:34:25.000000 UTC,28.3,26,26.1,1
1535727,2023-08-24 14:34:25.000000 UTC,28.3,26,26.1,1
1535727,2023-09-18 18:19:19.000000 UTC,28.3,26,27.1,1
1535727,2023-03-31 03:12:09.000000 UTC,32.6,26,24.5,438
1535727,2023-03-29 02:59:32.000000 UTC,28.8,26,26.3,34
1535727,2023-07-16 22:39:19.000000 UTC,28.8,26,26.7,1
1535727,2023-08-09 23:59:19.000000 UTC,28.8,26,27.1,6
1535727,2023-08-10 13:54:23.000000 UTC,28.8,26,27.1,1
1535727,2023-09-21 13:51:55.000000 UTC,28.8,26,26.7,1
1535727,2023-03-05 01:54:53.000000 UTC,25,27,26.5,164
1535727,2023-03-05 01:59:37.000000 UTC,25,27,26.5,164
1535727,2023-03-07 01:54:45.000000 UTC,25,27,25.9,150
1535727,2023-03-09 15:09:34.000000 UTC,26,27,29.2,1
1535727,2023-03-09 15:14:34.000000 UTC,26,27,29.2,1
1535727,2023-03-09 15:04:35.000000 UTC,26,27,29.4,1
1535727,2023-03-04 13:14:38.000000 UTC,27,27,30,0
1535727,2023-03-04 13:04:38.000000 UTC,27,27,30.3,1
1535727,2023-03-04 13:09:38.000000 UTC,27,27,30.3,1
1535727,2023-04-07 00:49:19.000000 UTC,29,27,27.1,83
1535727,2023-05-05 17:44:20.000000 UTC,29,27,27.9,0
1535727,2023-05-05 19:39:19.000000 UTC,29,27,27.6,1
1535727,2023-05-11 21:59:19.000000 UTC,29,27,27.3,1
1535727,2023-07-27 17:39:39.000000 UTC,30,27,28.2,0
1535727,2023-07-27 19:06:59.000000 UTC,30,27,28.1,0
1535727,2023-07-27 18:19:28.000000 UTC,30,27,28,1
1535727,2023-07-27 18:19:28.000000 UTC,30,27,28,1
1535727,2023-08-14 18:06:21.000000 UTC,30,27,27.8,1
1535727,2023-08-14 18:09:31.000000 UTC,30,27,27.8,1
1535727,2023-08-14 19:14:19.000000 UTC,30,27,28,1
1535727,2023-08-14 19:44:19.000000 UTC,30,27,27.8,0
1535727,2023-09-13 16:19:19.000000 UTC,30,27,28,0
1535727,2023-09-14 13:34:26.000000 UTC,30,27,28,1
1535727,2023-09-14 00:54:32.000000 UTC,30,27,26.9,51
1535727,2023-09-14 00:54:32.000000 UTC,30,27,26.9,51
1535727,2023-06-17 21:21:52.000000 UTC,29.5,27,27.2,1
1535727,2023-06-17 21:21:52.000000 UTC,29.5,27,27.2,1
1535727,2023-06-23 22:04:19.000000 UTC,29.5,27,27.2,1
1535727,2023-06-23 21:14:27.000000 UTC,29.5,27,27.3,1
1535727,2023-06-23 21:39:19.000000 UTC,29.5,27,27.3,1
1535727,2023-06-23 22:04:19.000000 UTC,29.5,27,27.3,1
1535727,2023-07-11 23:28:40.000000 UTC,29.5,27,27.6,1
1535727,2023-07-17 00:21:13.000000 UTC,29.5,27,27,25
1535727,2023-08-03 18:34:19.000000 UTC,29.5,27,27.5,1
1535727,2023-08-17 00:29:36.000000 UTC,29.5,27,27.4,34
1535727,2023-09-07 00:11:34.000000 UTC,29.5,27,27.7,19
1535727,2023-09-07 00:14:25.000000 UTC,29.5,27,27.7,19
1535727,2023-09-07 00:14:25.000000 UTC,29.5,27,27.7,19
